shard	records	complete	trunc_len	trunc_url	leftfail	uniq_domains
1	117196809	114970333	879629	1346847	0	1066712
2	114233187	112058198	761947	1413042	0	1080708
3	117155739	114860438	781634	1513667	0	1125553
4	115407114	113333056	718958	1355100	0	1079810
5	119037098	116806831	763116	1467151	0	1128326
6	114667418	112549812	719370	1398236	0	1107335
7	115624858	113463517	791409	1369932	0	1095257
8	115930468	113729155	856880	1344433	0	949331
9	116977806	114805523	854943	1317340	0	1084620
10	117199932	115066268	831337	1302327	0	1076071
11	118758525	116555692	894730	1308103	0	1091932
12	118003736	115712169	892106	1399461	0	1063824
13	115689120	113586543	864472	1238105	0	1089620
14	119725801	117489619	866944	1369238	0	1084975
15	116184820	114068122	812275	1304423	0	1104482
16	118153085	115846027	872297	1434761	0	1092258
17	116391537	114083669	831239	1476629	0	1104323
18	118252225	115945241	855716	1451268	0	1076086
19	119666303	117488455	807821	1370027	0	1104402
20	116941291	114714259	884323	1342709	0	1111542
21	121641067	119355683	882430	1402954	0	1068196
22	116615576	114377720	817774	1420082	0	937959
23	115434461	113203239	860751	1370471	0	998065
24	116391673	114348912	751656	1291105	0	1008610
25	116482652	114369706	779119	1333827	0	961930
26	115176616	113212005	743601	1221010	0	995586
27	118157264	115999097	802746	1355421	0	936669
28	125418273	123060943	867093	1490237	0	1001773
29	121112298	118758124	912239	1441935	0	1018356
30	122013759	119788607	858986	1366166	0	1007493
31	122847568	120462801	877346	1507421	0	1071432
32	123465994	121241926	827245	1396823	0	1065308
33	124465674	122030506	951411	1483757	0	1005879
34	117378853	114879736	1043885	1455232	0	1063501
35	115045811	112610023	1040782	1395006	0	1051153
36	114322157	112099884	919196	1303077	0	1023274
37	116986291	114660065	1013104	1313122	0	1031362
38	118630224	116258576	928063	1443585	0	1055229
39	116767999	114354293	1038174	1375532	0	1011505
40	115329078	113034876	952532	1341670	0	1031248
41	128221643	125680000	827793	1713850	0	927630
42	127566164	125205727	801266	1559171	0	926540
43	127449312	125114743	802675	1531894	0	918865
44	123757423	121293292	819550	1644581	0	938150
45	123667124	121269529	795528	1602067	0	924010
46	126349952	123807026	817948	1724978	0	952184
47	128032124	125458314	862592	1711218	0	980104
48	126797854	124276355	910733	1610766	0	1002059
49	118184182	115857008	831860	1495314	0	1034957
50	120371181	118108164	791704	1471313	0	1045340
51	122142951	119757401	920550	1465000	0	1055788
52	119909955	117548239	850173	1511543	0	1068178
53	118281796	116017803	850451	1413542	0	1042529
54	118956398	116850628	783976	1321794	0	1056832
55	124245835	121978297	810313	1457225	0	1007139
56	124255504	121988442	829130	1437932	0	961687
57	123893080	121544928	848143	1500009	0	992905
58	122947370	120591646	840261	1515463	0	960445
59	123434572	120994333	830729	1609510	0	973882
60	123013270	120690103	799561	1523606	0	973815
61	122748151	120191519	846774	1709858	0	988676
62	119419908	117162133	885043	1372732	0	1090809
63	117286185	115095107	780928	1410150	0	1064721
64	116022877	113909596	721723	1391558	0	1082494
65	117503652	115363668	787836	1352148	0	1095249
66	117905360	115739386	819321	1346653	0	1090189
67	117207376	115013219	771497	1422660	0	1093107
68	117356028	115035987	824965	1495076	0	1095356
69	125952927	123550100	845887	1556940	0	1015737
70	124533179	122265440	806170	1461569	0	1000139
71	123444279	121120360	829571	1494348	0	984522
72	124613125	122237474	812586	1563065	0	1047846
73	123709377	121212577	849812	1646988	0	999770
74	125445975	123118218	799531	1528226	0	1062868
75	125753197	123499981	800672	1452544	0	1031299
76	125260128	122970641	832565	1456922	0	950108
77	125406845	123287095	767819	1351931	0	913185
78	125087871	122837620	826966	1423285	0	960069
79	120038131	117844774	813180	1380177	0	960764
80	122580603	120399511	838018	1343074	0	952486
81	125692012	123258663	827281	1606068	0	985001
82	109972589	108518391	729336	724862	0	397504
83	107360704	105815171	741730	803803	0	509458
84	102823621	101178677	781756	863188	0	641938
85	116597107	114932975	785508	878624	0	473387
86	98168376	97021436	517176	629764	0	751045
87	98748523	97256739	695469	796315	0	344938
88	78393714	76722596	804400	866718	0	58169
89	120260302	118710384	689659	860259	0	223715
90	111256790	109391409	781827	1083554	0	741624
91	121344657	118624433	1253258	1466966	0	137249
92	140061369	137752210	1072097	1237062	0	255677
93	76472030	75437741	502083	532206	0	731264
94	99170401	95513679	1592926	2063796	0	57358
95	133907622	131159761	1275819	1472042	0	157044
96	85304313	84061088	615510	627715	0	278493
97	91608059	89448088	928995	1230976	0	608243
98	107631028	104702200	1220720	1708108	0	118620
99	126055774	123641728	1150122	1263924	0	174048
100	111228357	109454468	931244	842645	0	716202
101	104160353	101471341	1263770	1425242	0	122096
102	111233966	108533668	1288909	1411389	0	136838
103	118873752	116117535	1356461	1399756	0	150379
104	92789571	91047258	719406	1022907	0	571464
105	78733110	75888835	1005961	1838314	0	288217
106	115600966	112018047	1383929	2198990	0	51925
107	136356054	133405807	1296086	1654161	0	102479
108	110754097	109376602	511708	865787	0	138569
109	87174209	85730806	528996	914407	0	683729
110	86189707	82653358	1122201	2414148	0	40374
111	111024043	107847348	1082796	2093899	0	45122
112	126400124	124300676	1001325	1098123	0	108654
113	138017352	136436480	710055	870817	0	172024
114	105956690	104836769	622251	497670	0	699722
115	93225224	90444662	1004413	1776149	0	55587
116	101054762	98055992	1047113	1951657	0	58623
117	95161191	93359532	701890	1099769	0	144699
118	113337704	112365180	463386	509138	0	167770
119	82320191	80974034	1105890	240267	0	662720
120	102546641	100582808	832849	1130984	0	118923
121	100035441	98648201	626626	760614	0	97901
122	118414116	117418089	631184	364843	0	160622
123	73184755	71859735	1002325	322695	0	491370
124	74612187	72781490	705900	1124797	0	274946
125	102411204	101280690	519142	611372	0	175158
126	99125758	98054795	471742	599221	0	182381
127	101311669	99950664	596423	764582	0	170723
128	84500137	83094131	547804	858202	0	550635
129	105700915	103704743	850952	1145220	0	224512
130	110831177	109266728	697712	866737	0	104751
131	86140757	85592229	288291	260237	0	127479
132	100936818	100196462	374244	366112	0	498997
133	106101871	104094425	794734	1212712	0	282686
134	89642043	88171980	616908	853155	0	46960
135	114706284	113653889	454196	598199	0	107885
136	110053919	109398254	294536	361129	0	183654
137	84972139	84052626	313146	606367	0	626628
138	121196816	119349579	801603	1045634	0	79656
139	114708561	113593128	452684	662749	0	143037
140	96337173	95787356	341990	207827	0	292786
141	102970488	101965728	457726	547034	0	488605
142	96621395	95495230	519860	606305	0	64015
143	110997610	110270163	315599	411848	0	164008
144	83594955	81170617	2102729	321609	0	266419
145	91391009	90583060	357203	450746	0	465631
146	123089121	121607633	724097	757391	0	83605
147	114870252	114151253	314948	404051	0	171435
148	69808673	69203185	483554	121934	0	470816
149	94487626	93295488	595294	596844	0	250708
150	118161922	117011525	457301	693096	0	111946
151	89605465	89006529	295771	303165	0	144593
152	73675967	73212828	247919	215220	0	405479
153	73980044	73392725	291073	296246	0	239374
154	98145285	96911660	506423	727202	0	70842
155	99125461	98301693	295922	527846	0	127443
156	80033136	79525335	201050	306751	0	123507
157	94246800	93721950	220379	304471	0	570531
158	111428444	110217985	458435	752024	0	89726
159	118336860	117678969	243384	414507	0	146196
160	68341599	68070546	124713	146340	0	433527
161	99593547	98794295	382241	417011	0	258632
162	103812352	103058957	291357	462038	0	102860
163	118580962	117967124	224047	389791	0	163962
164	71877405	71645100	98998	133307	0	590438
165	83772802	82719251	474822	578729	0	45033
166	112259481	111609481	236071	413929	0	144656
167	105406870	104695415	282814	428641	0	142573
168	81408633	80669577	337489	401567	0	199838
169	119578828	118688370	354349	536109	0	149761
170	106589857	106037115	212786	339956	0	280972
